param_132,type,is_measured,normal_values,% of normal values,param dist.
3577,AC,1,0.79,16,934
3168,AC,1,0.85,100,774
305,AC/DC,0,0.62,36,822
7394,AC,0,0.08,15,131
15582,AC,1,0.38,75,719
1336,AC,1,0.35,51,883
7847,AC/DC,1,0.39,7,566
15099,AC,1,0.5,23,417
11001,AC,1,0.02,91,299
11004,AC,1,0.09,21,587
41,AC/DC,0,0.01,56,195
8103,AC/DC,1,0.62,4,486
770,AC,0,0.49,18,608
485,AC/DC,0,0.54,95,335
824,AC,0,0.86,24,568
526,AC/DC,0,0.87,52,6
3261,AC,1,0.74,51,15
194,AC/DC,0,0.56,89,473
340,AC,0,0.32,28,253
2896,AC,0,0.02,61,875
119,AC/DC,0,0.69,23,277
382,AC/DC,0,0.8,94,747
827,AC/DC,0,0.92,8,739
570,AC/DC,0,0.91,13,424
9363,AC,1,0.81,23,448
197,AC/DC,0,0.1,30,313
153,AC/DC,0,0.96,70,512
18835,AC,1,0.63,82,974
10773,AC/DC,1,0.1,0,968
967,AC/DC,0,0.67,84,721
817,AC,0,0.44,37,677
3833,AC,1,0.64,8,457
1185,AC,1,0.32,79,116
14331,AC,1,0.9,4,208
334,AC/DC,0,0.25,0,913
431,AC/DC,0,0.66,26,142
982,AC/DC,0,0.75,51,213
367,AC/DC,0,0.76,92,948
356,AC/DC,0,0.12,81,845
7494,AC,1,0.94,41,814
452,AC/DC,0,0.67,84,15
744,AC/DC,0,0.81,45,294
970,AC/DC,0,0.14,14,563
914,AC,0,0.16,57,958
964,AC/DC,0,0.34,70,285
906,AC/DC,1,0.55,48,826
375,AC,0,0.92,63,211
5627,AC,1,0.43,21,955
11316,AC,0,0.57,65,5
151,AC/DC,0,0.63,17,980
947,AC/DC,0,0.42,74,957
269,AC/DC,0,0.23,85,93
781,AC/DC,0,0.8,72,259
10495,AC,1,0.89,41,83
634,AC/DC,0,0.22,54,470
12610,AC,1,0.2,35,800
866,AC,1,0.13,53,769
892,AC/DC,0,0.82,51,718
528,AC/DC,0,0.0,12,663
27,AC/DC,0,0.84,8,632
251,AC/DC,0,0.46,35,752
490,AC/DC,0,0.69,10,875
647,AC/DC,0,0.99,63,755
322,AC/DC,0,0.29,42,544
833,AC/DC,0,0.34,2,15
593,AC/DC,0,0.14,33,383
864,AC/DC,1,0.55,89,559
18891,AC,1,0.24,93,333
18754,AC,1,0.09,0,510
16417,AC,1,0.25,12,266
571,AC/DC,0,0.73,20,212
968,AC/DC,0,0.92,13,497
1213,AC,1,0.51,74,927
14838,AC,1,0.12,60,225
15414,AC,1,0.47,15,987
246,AC/DC,0,0.89,45,25
6995,AC/DC,1,0.69,49,460
4768,AC,1,0.14,89,348
1585,AC,1,0.89,89,867
528,AC/DC,0,0.64,10,518
227,AC,0,0.99,16,795
548,AC,0,0.5,40,683
190,AC/DC,0,0.08,89,959
249,AC/DC,0,0.26,52,285
11457,AC,0,0.7,96,502
779,AC/DC,0,0.38,79,276
6952,AC,1,0.98,77,910
6545,AC/DC,1,0.12,47,453
755,AC/DC,1,0.68,93,727
425,AC/DC,0,0.3,39,80
570,AC/DC,0,0.69,29,28
8772,AC,1,0.6,0,100
8393,AC,1,0.75,96,604
756,AC/DC,0,0.3,61,982
16335,AC,1,0.62,52,809
19253,AC,1,0.38,41,875
11661,AC,0,0.4,23,480
589,AC/DC,0,0.22,37,41
960,AC/DC,0,0.55,2,866
568,AC/DC,0,0.76,96,979
8537,AC,1,0.32,25,990
97,AC/DC,0,0.31,0,341
88,AC/DC,0,0.13,38,974
13133,AC,0,0.0,78,76
152,AC/DC,0,0.98,97,503
50,AC/DC,0,0.51,20,81
899,AC/DC,0,0.91,78,740
1,AC/DC,0,0.27,75,232
12673,AC,1,0.8,59,480
6543,AC,1,0.72,92,925
189,AC/DC,0,0.87,73,851
7752,AC,1,0.94,83,715
1669,AC,1,0.95,37,561
54,AC/DC,0,0.78,42,120
544,AC/DC,0,0.66,92,260
10460,AC/DC,1,0.85,16,699
260,AC/DC,0,0.53,25,51
18436,AC,1,0.48,47,831
524,AC/DC,0,0.89,51,614
18137,AC/DC,1,0.75,9,797
4612,AC,1,0.06,83,822
970,AC/DC,0,0.58,38,603
216,AC/DC,0,0.57,28,634
115,AC/DC,0,0.54,20,570
700,AC/DC,0,0.1,75,653
783,AC/DC,0,0.27,29,81
3341,AC,1,0.14,77,705
18280,AC,1,0.82,88,697
11759,AC,1,0.34,91,341
256,AC/DC,0,0.22,47,134
393,AC/DC,0,0.92,98,955
131,AC/DC,0,0.99,96,904
438,AC,0,0.87,85,895
516,AC,0,0.38,79,748
14043,AC,1,0.31,58,190
697,AC/DC,0,0.37,35,713
488,AC,0,0.95,65,525
446,AC/DC,0,0.94,78,902
15586,AC,1,0.9,70,320
609,AC/DC,0,0.36,17,71
86,AC/DC,0,0.65,98,673
657,AC/DC,1,0.63,21,525
314,AC/DC,0,0.66,7,80
121,AC/DC,0,0.17,74,191
743,AC,0,0.28,91,411
854,AC/DC,0,0.1,2,730
15781,AC,1,0.58,38,408
243,AC/DC,0,0.21,38,518
338,AC/DC,0,0.59,64,475
5520,AC,1,0.88,74,557
655,AC/DC,0,0.2,27,315
90,AC/DC,0,0.57,91,966
785,AC/DC,0,0.19,60,822
546,AC/DC,0,0.17,54,129
15307,AC,0,0.91,49,776
359,AC/DC,0,0.35,93,999
6,AC/DC,0,0.06,41,313
262,AC/DC,0,0.15,95,902
18341,AC,1,0.54,6,560
636,AC/DC,0,0.82,9,568
485,AC/DC,0,0.08,16,514
11149,AC,1,0.94,31,123
2790,AC,1,0.89,51,175
398,AC/DC,0,0.68,70,201
576,AC/DC,0,0.15,0,197
19955,AC,1,0.74,40,539
777,AC/DC,0,0.51,50,156
595,AC/DC,0,0.38,21,828
168,AC/DC,1,0.07,27,14
606,AC/DC,0,0.19,55,299
534,AC/DC,0,0.48,20,263
293,AC/DC,0,0.24,99,748
112,AC/DC,0,0.63,15,403
375,AC/DC,0,0.32,90,923
72,AC/DC,0,0.57,1,166
119,AC/DC,0,0.17,18,355
122,AC/DC,0,0.05,59,996
15400,AC,1,0.42,36,229
315,AC/DC,0,0.58,6,226
6665,AC,0,0.33,73,998
397,AC/DC,0,0.35,61,333
17939,AC,1,0.26,37,318
12550,AC/DC,1,0.17,13,736
710,AC/DC,0,0.92,21,14
325,AC/DC,0,0.44,25,314
725,AC/DC,0,0.23,92,372
979,AC/DC,0,0.64,38,895
35,AC,0,0.14,65,759
783,AC/DC,0,0.53,30,609
621,AC/DC,0,0.3,69,542
958,AC/DC,0,1.0,78,728
981,AC/DC,0,0.68,62,237
563,AC/DC,0,0.73,16,771
468,AC/DC,0,0.36,8,791
94,AC/DC,0,0.72,45,498
367,AC/DC,0,0.01,41,592
311,AC/DC,0,0.26,24,534
739,AC/DC,0,0.0,66,816
216,AC/DC,1,0.7,22,22
549,AC/DC,0,0.63,94,654
7167,AC,1,0.52,11,722
703,AC,0,0.35,28,35
863,AC/DC,0,0.9,92,727
249,AC/DC,0,0.12,54,388
368,AC/DC,0,0.48,42,455
694,AC/DC,0,0.24,61,816
749,AC/DC,0,0.03,75,708
4160,AC,1,0.8,6,329
13217,AC,1,0.38,96,345
780,AC/DC,0,0.45,63,737
1612,AC,1,0.47,37,802
2,AC/DC,0,0.33,27,777
672,AC/DC,0,0.7,90,843
960,AC,1,0.49,16,519
950,AC/DC,0,0.87,9,21
451,AC/DC,0,0.97,5,785
495,AC/DC,0,0.31,27,676
239,AC/DC,0,0.23,41,688
984,AC/DC,0,0.14,45,297
8431,AC,1,0.18,67,38
12957,AC,1,0.74,37,255
228,AC,0,0.97,40,297
693,AC/DC,0,0.41,72,566
14461,AC,1,0.67,72,27
504,AC/DC,0,0.97,39,980
991,AC/DC,0,0.63,26,146
9740,AC,1,0.06,37,139
3556,AC,1,0.66,79,386
943,AC/DC,0,0.56,50,718
9,AC/DC,0,0.39,28,620
6,AC/DC,0,0.92,85,921
182,AC/DC,0,0.24,69,354
18599,AC,1,0.6,7,225
79,AC/DC,0,0.79,10,30
841,AC/DC,0,0.84,59,158
481,AC/DC,0,0.29,19,900
420,AC/DC,0,0.49,60,176
12003,AC,1,0.1,13,45
146,AC/DC,0,0.05,54,744
406,AC/DC,0,0.28,11,111
52,AC/DC,0,0.84,30,197
61,AC/DC,0,0.81,20,361
9638,AC,1,0.11,11,36
1615,AC,1,0.82,45,862
200,AC/DC,0,0.01,28,653
14539,AC,1,0.94,37,202
617,AC/DC,0,0.33,3,283
672,AC/DC,0,0.25,68,809
7,AC/DC,0,0.9,28,997
621,AC/DC,0,0.45,39,305
420,AC/DC,0,0.49,52,371
412,AC/DC,0,0.72,33,46
703,AC/DC,0,0.96,12,34
4419,AC,1,0.45,39,603
16726,AC,0,0.65,50,617
6489,AC,0,0.38,59,426
1976,AC,1,0.6,12,746
19065,AC,1,0.93,42,559
653,AC/DC,0,0.54,90,428
1,AC,0,0.78,86,254
1708,AC,1,0.54,68,213
712,AC/DC,0,0.78,75,212
16209,AC,1,0.88,6,129
9031,AC,1,0.32,4,179
82,AC/DC,0,0.92,39,958
40,AC/DC,0,0.65,66,180
909,AC/DC,0,0.64,82,400
1567,AC,1,0.12,12,717
856,AC,0,0.88,54,83
790,AC/DC,0,0.57,11,823
634,AC/DC,0,0.07,15,755
256,AC/DC,0,0.89,72,603
138,AC/DC,0,0.72,43,926
271,AC,0,0.14,11,410
364,AC/DC,0,0.4,1,518
896,AC,0,0.08,76,164
6577,AC,1,0.68,21,980
409,AC/DC,0,0.4,14,444
830,AC/DC,0,0.34,40,396
389,AC/DC,0,0.2,44,693
2483,AC,1,0.85,43,263
271,AC/DC,0,0.18,100,388
975,AC/DC,0,0.14,97,301
3348,AC,0,0.48,23,87
550,AC/DC,0,0.52,42,904
288,AC/DC,0,0.45,79,535
633,AC/DC,0,0.56,86,127
15703,AC,1,0.34,83,956
75,AC/DC,0,0.42,7,985
997,AC/DC,0,0.77,69,211
2447,AC,1,0.52,46,565
16485,AC,1,0.94,92,263
423,AC/DC,0,0.27,24,266
731,AC/DC,0,0.88,41,527
5126,AC,1,0.58,31,196
14690,AC,1,0.27,4,409
731,AC/DC,0,0.97,7,357
514,AC/DC,0,0.79,68,680
151,AC/DC,0,0.54,2,21
9534,AC,1,0.53,39,232
11659,AC,1,0.9,54,689
985,AC/DC,0,0.2,84,928
13037,AC/DC,1,0.26,99,730
628,AC/DC,0,0.17,24,707
90,AC/DC,0,0.62,36,30
231,AC/DC,0,0.1,21,420
427,AC,0,0.7,25,144
11641,AC,1,0.69,10,685
2235,AC,1,0.93,53,259
509,AC/DC,0,0.05,83,478
997,AC/DC,0,0.29,36,669
526,AC/DC,0,0.14,84,908
493,AC/DC,0,0.92,22,148
7496,AC,1,0.05,56,109
514,AC/DC,0,0.46,65,796
4190,AC/DC,1,0.72,41,691
460,AC/DC,0,0.93,60,103
15462,AC,1,0.21,96,220
508,AC/DC,0,0.36,18,263
101,AC/DC,0,0.7,47,9
9315,AC,1,0.25,72,767
827,AC,0,0.75,19,231
471,AC/DC,0,0.67,91,488
15650,AC,1,0.64,29,24
984,AC/DC,0,0.23,97,229
986,AC/DC,0,0.19,16,204
8472,AC,1,0.3,44,688
307,AC/DC,0,0.7,70,450
544,AC/DC,0,0.07,5,484
519,AC,0,0.04,23,268
489,AC/DC,0,0.71,22,902
3209,AC,1,0.69,1,899
14277,AC,1,0.79,67,46
399,AC/DC,1,0.4,64,538
15517,AC,0,0.65,81,150
455,AC/DC,0,0.59,44,662
713,AC/DC,0,1.0,65,591
204,AC/DC,0,0.6,92,506
274,AC/DC,0,0.48,30,18
3195,AC,1,0.47,55,416
11496,AC,1,0.82,87,877
67,AC,0,0.19,65,99
214,AC/DC,0,1.0,52,455
34,AC/DC,0,0.74,42,695
744,AC/DC,0,0.99,3,191
215,AC/DC,0,0.93,15,343
402,AC/DC,1,0.93,88,355
199,AC/DC,1,0.47,85,429
5378,AC,0,0.56,41,367
5099,AC,1,0.64,23,114
537,AC/DC,0,0.49,83,559
419,AC,0,0.12,89,521
918,AC/DC,0,0.54,83,963
325,AC/DC,0,0.44,31,863
4263,AC,1,0.93,63,284
10306,AC,0,0.33,2,884
15276,AC,1,0.44,25,468
17628,AC,1,0.27,98,941
571,AC/DC,0,0.13,51,141
498,AC/DC,0,0.13,22,526
998,AC/DC,0,0.02,9,452
497,AC/DC,0,0.52,5,754
1500,AC,1,0.53,65,963
631,AC/DC,0,0.05,54,661
18,AC/DC,0,0.95,11,97
288,AC/DC,0,0.73,75,948
869,AC/DC,0,0.3,1,140
415,AC/DC,0,0.76,3,428
836,AC/DC,0,0.61,40,935
2950,AC,1,0.53,26,164
394,AC/DC,0,0.15,33,207
245,AC/DC,0,0.01,60,70
484,AC/DC,0,0.97,19,626
841,AC/DC,0,0.84,34,96
384,AC/DC,0,0.86,25,480
799,AC/DC,0,0.18,53,488
46,AC,0,0.79,25,139
545,AC/DC,1,0.3,45,438
9558,AC,0,0.05,45,651
7773,AC,1,0.39,86,422
923,AC/DC,0,0.28,7,705
959,AC/DC,0,0.5,5,135
11574,AC,1,0.23,31,163
15601,AC,1,0.67,93,774
10046,AC/DC,1,0.49,72,46
19288,AC,0,0.76,96,209
16263,AC,0,0.87,67,332
8585,AC,1,0.21,33,992
4046,AC,1,0.24,2,359
18304,AC,1,0.57,46,585
481,AC/DC,0,0.79,95,229
995,AC/DC,0,0.4,65,775
552,AC,0,0.65,35,161
227,AC/DC,0,0.73,79,897
346,AC/DC,0,0.33,12,374
4019,AC,1,0.35,61,421
17203,AC,1,0.2,76,778
17398,AC,0,0.28,74,280
693,AC/DC,0,0.28,45,99
284,AC/DC,1,0.58,74,71
4,AC/DC,0,0.25,38,434
655,AC/DC,0,0.26,12,207
300,AC,0,0.64,99,339
2476,AC,1,0.05,83,595
318,AC/DC,0,0.87,93,745
122,AC/DC,0,0.79,30,737
454,AC/DC,0,0.35,8,827
478,AC/DC,0,0.12,16,702
14724,AC,1,0.28,2,895
734,AC/DC,0,0.79,9,62
3145,AC,1,0.05,8,520
6655,AC,1,0.42,96,292
18478,AC,1,0.42,94,96
19626,AC,0,0.56,92,556
16564,AC,1,0.72,77,817
45,AC/DC,0,0.31,69,236
622,AC/DC,0,0.46,13,109
15649,AC,1,0.44,33,452
221,AC/DC,1,0.04,73,840
15371,AC,1,0.01,18,483
249,AC/DC,0,0.36,32,110
14957,AC,1,0.68,30,543
445,AC/DC,0,0.05,27,783
17779,AC,1,0.83,85,760
10545,AC,1,0.33,87,407
236,AC/DC,0,0.47,92,448
481,AC/DC,0,0.91,47,690
362,AC/DC,0,0.36,52,727
15627,AC,1,0.04,7,634
13338,AC,1,0.3,14,942
7324,AC,1,0.08,39,224
461,AC/DC,0,0.5,40,690
775,AC/DC,0,0.44,9,19
587,AC/DC,0,0.25,64,853
11404,AC/DC,1,0.94,88,855
75,AC/DC,0,0.23,15,902
323,AC/DC,0,0.77,78,433
19103,AC,1,0.32,59,273
982,AC/DC,0,0.5,56,404
9848,AC,1,0.67,33,187
3097,AC,0,0.59,5,818
1242,AC,0,0.96,18,18
17175,AC/DC,1,0.22,23,193
23,AC/DC,0,0.89,24,495
667,AC/DC,0,0.83,59,384
10969,AC,1,0.96,67,397
398,AC/DC,0,0.05,88,45
880,AC/DC,0,0.05,27,224
617,AC/DC,0,0.82,32,555
5934,AC,1,0.98,39,112
266,AC/DC,0,0.06,100,195
196,AC/DC,0,0.93,56,801
15722,AC,0,0.32,2,82
879,AC/DC,0,0.0,21,72
75,AC/DC,0,0.77,18,963
14845,AC,1,0.24,69,206
487,AC/DC,0,0.12,48,412
312,AC,0,0.09,52,584
5445,AC,1,0.5,31,446
728,AC/DC,1,0.61,15,44
176,AC/DC,0,0.27,92,658
15939,AC,1,0.28,46,919
472,AC/DC,1,1.0,34,300
353,AC/DC,0,0.99,66,370
922,AC/DC,1,0.95,68,789
213,AC/DC,1,0.85,14,561
3652,AC,1,0.86,49,700
5878,AC,1,0.1,5,701
5471,AC,1,0.6,87,954
1002,AC,1,0.21,9,737
79,AC/DC,0,0.13,40,59
553,AC/DC,0,0.41,5,654
227,AC/DC,0,0.66,5,515
5738,AC,1,0.02,20,970
2345,AC,1,0.66,23,570
514,AC/DC,0,0.04,82,745
966,AC/DC,0,0.41,55,564
1,AC,0,0.27,99,229
10257,AC,1,0.15,28,354
1867,AC,1,0.5,2,479
107,AC/DC,1,0.9,6,741
260,AC/DC,0,0.32,93,493
581,AC/DC,1,0.26,65,151
3215,AC/DC,1,0.83,41,812
179,AC/DC,0,0.56,18,369
919,AC/DC,0,0.74,74,231
814,AC/DC,0,0.7,18,421
532,AC,0,0.13,41,699
3489,AC,1,0.79,13,676
522,AC/DC,0,0.75,35,78
14025,AC,1,0.63,60,846
5426,AC,1,0.79,100,578
891,AC,0,0.26,90,620
714,AC/DC,0,0.53,25,935
14471,AC,1,0.55,79,771
835,AC/DC,0,0.54,54,656
386,AC/DC,0,0.85,41,137
255,AC/DC,0,0.26,13,510
671,AC/DC,0,0.71,78,315
801,AC/DC,0,0.65,80,726
967,AC/DC,0,0.61,60,370
7276,AC,1,0.3,50,212
2460,AC,1,0.57,69,459
8951,AC,1,0.52,45,785
4954,AC,1,0.94,77,752
521,AC/DC,0,0.19,57,214
86,AC/DC,0,0.86,42,185
13758,AC,1,0.14,50,653
726,AC/DC,0,0.64,49,640
353,AC,0,0.13,90,824
638,AC/DC,0,0.59,73,343
708,AC/DC,0,0.57,75,49
605,AC/DC,1,0.94,29,622
530,AC/DC,0,0.91,43,355
885,AC/DC,0,0.39,38,395
328,AC/DC,0,0.29,67,258
3,AC/DC,0,1.0,3,95
487,AC/DC,0,0.07,92,853
995,AC/DC,0,0.44,65,100
403,AC/DC,0,0.16,7,206
874,AC/DC,1,0.96,93,927
703,AC/DC,0,0.77,13,333
4304,AC,1,0.12,71,249
17256,AC,1,0.32,39,592
1044,AC/DC,1,0.17,55,360
15824,AC/DC,1,0.46,6,502
802,AC/DC,0,0.19,34,978
695,AC/DC,0,0.29,35,320
806,AC/DC,0,0.56,100,524
117,AC/DC,0,0.16,92,130
10458,AC,1,0.3,8,474
5751,AC,1,0.49,93,662
783,AC/DC,0,0.72,35,426
3751,AC,1,0.74,59,487
342,AC/DC,0,0.24,81,383
10562,AC,1,0.85,51,98
235,AC/DC,0,0.69,21,816
5673,AC,1,0.72,1,819
746,AC/DC,0,0.53,42,238
202,AC/DC,0,0.86,10,626
6784,AC,1,0.49,0,201
17715,AC,1,0.95,20,229
320,AC/DC,0,0.93,46,661
842,AC/DC,0,0.94,14,33
251,AC/DC,1,0.86,25,204
116,AC,0,0.82,83,158
119,AC/DC,0,0.75,34,814
522,AC/DC,0,0.12,16,205
363,AC/DC,0,0.81,16,917
740,AC/DC,0,0.73,28,802
7467,AC,1,0.96,73,988
8549,AC,1,0.87,31,831
387,AC/DC,0,0.46,99,720
12641,AC,1,0.75,69,350
12416,AC,1,0.96,31,863
671,AC/DC,0,0.4,73,304
139,AC/DC,0,0.62,30,258
595,AC/DC,0,0.38,37,500
794,AC/DC,0,0.48,59,743
137,AC/DC,0,0.31,82,995
14785,AC,1,0.59,41,609
235,AC/DC,0,0.43,93,490
363,AC,0,0.71,80,788
580,AC/DC,0,0.1,18,429
754,AC/DC,0,0.87,40,69
355,AC,0,0.9,64,622
46,AC/DC,0,0.57,92,423
16525,AC,1,0.51,44,624
852,AC/DC,0,0.4,48,965
293,AC/DC,0,0.36,32,18
438,AC/DC,0,0.24,61,559
254,AC/DC,0,0.87,15,642
683,AC/DC,0,0.69,26,224
8931,AC,1,1.0,49,944
12423,AC,1,0.12,12,447
155,AC/DC,0,0.89,84,494
394,AC/DC,0,0.62,46,692
932,AC/DC,0,0.17,72,11
445,AC/DC,1,0.81,26,889
545,AC/DC,0,0.25,21,109
15822,AC,0,0.28,52,779
531,AC/DC,0,0.79,4,522
5266,AC,1,0.91,60,808
13447,AC,1,0.91,76,174
870,AC/DC,0,0.63,62,815
330,AC/DC,0,0.16,94,474
898,AC/DC,0,0.86,2,969
794,AC/DC,0,0.72,13,66
228,AC,0,0.5,4,981
463,AC/DC,0,0.59,89,877
207,AC/DC,0,0.79,27,938
19294,AC,1,0.53,41,912
19956,AC,1,0.92,29,805
947,AC/DC,0,0.36,41,229
223,AC/DC,0,0.4,70,682
10227,AC,1,0.28,45,360
8927,AC,1,0.01,86,306
805,AC/DC,1,0.73,68,959
789,AC/DC,0,0.26,61,182
641,AC/DC,1,0.53,20,344
664,AC/DC,0,0.7,51,996
11073,AC,1,0.91,80,306
4975,AC,1,0.71,7,521
998,AC/DC,0,0.79,86,895
1980,AC,1,0.77,77,571
621,AC/DC,0,0.81,79,503
301,AC/DC,0,0.86,73,366
484,AC/DC,0,0.44,55,761
357,AC/DC,0,0.41,67,126
1748,AC,1,0.81,27,824
617,AC,1,0.78,100,17
28,AC/DC,0,0.61,64,457
141,AC/DC,0,0.01,98,244
7578,AC,1,0.96,1,603
440,AC/DC,0,0.98,2,120
706,AC/DC,0,0.85,42,593
158,AC/DC,0,0.43,21,307
194,AC/DC,0,0.61,45,693
3268,AC,1,0.39,49,817
575,AC,0,0.9,59,780
145,AC/DC,0,0.72,33,59
14,AC/DC,0,0.28,91,389
506,AC/DC,0,0.3,4,799
730,AC/DC,0,0.27,63,385
661,AC/DC,0,0.65,36,326
253,AC/DC,0,0.23,78,157
8933,AC,1,0.91,76,476
12763,AC,1,0.79,91,630
818,AC/DC,0,0.81,6,802
8387,AC/DC,1,0.25,63,201
470,AC/DC,0,0.39,49,518
562,AC/DC,0,0.82,43,768
726,AC/DC,0,0.25,47,873
200,AC/DC,1,0.5,88,458
231,AC/DC,0,0.84,90,282
7,AC,0,0.44,69,715
310,AC/DC,0,0.64,78,404
438,AC/DC,1,0.91,47,841
8487,AC,1,0.78,81,435
570,AC,0,0.51,59,312
972,AC/DC,0,0.99,49,683
3969,AC,1,0.42,39,637
869,AC/DC,0,0.07,67,255
244,AC/DC,1,0.49,0,660
17175,AC,1,0.11,21,847
18685,AC,1,0.94,90,368
328,AC/DC,0,0.74,93,426
16000,AC,1,0.27,75,846
16910,AC,1,0.25,27,546
73,AC/DC,0,0.59,38,294
936,AC/DC,1,0.69,17,824
806,AC/DC,0,0.24,51,381
2274,AC/DC,1,0.85,0,759
36,AC/DC,0,0.84,16,152
5939,AC/DC,1,0.5,40,514
17,AC/DC,0,0.7,79,399
794,AC/DC,0,0.09,46,512
84,AC/DC,0,0.41,12,497
6726,AC,1,0.14,80,834
296,AC/DC,0,0.45,38,94
648,AC/DC,0,0.0,56,278
10853,AC,0,0.52,47,915
778,AC/DC,0,0.7,73,267
961,AC/DC,0,0.3,55,493
286,AC,1,0.2,49,740
670,AC/DC,0,0.05,22,220
211,AC/DC,0,0.07,2,825
14281,AC/DC,0,0.58,98,506
775,AC/DC,0,0.3,63,395
168,AC/DC,0,1.0,87,886
187,AC/DC,0,0.49,6,470
14331,AC,1,0.03,9,426
7660,AC,1,0.75,38,220
109,AC/DC,0,0.5,1,573
375,AC/DC,1,0.47,49,35
434,AC/DC,1,0.55,30,247
8379,AC,1,0.61,60,155
280,AC/DC,0,0.06,79,10
152,AC/DC,0,0.4,74,51
185,AC/DC,0,0.93,75,405
15446,AC,1,0.51,85,478
601,AC/DC,0,0.63,65,699
219,AC/DC,0,0.59,2,982
8777,AC,1,0.93,76,569
4808,AC,1,0.39,82,756
16007,AC,1,0.66,71,173
453,AC/DC,0,0.66,75,805
82,AC/DC,0,0.56,69,699
19332,AC,0,0.58,92,908
670,AC/DC,0,0.08,8,561
576,AC/DC,0,0.59,83,495
769,AC/DC,0,0.7,55,223
484,AC/DC,0,0.65,63,956
669,AC/DC,0,0.07,51,4
4424,AC,1,0.95,65,81
554,AC/DC,0,0.24,35,949
1050,AC,1,0.01,4,830
16027,AC,1,0.58,93,651
776,AC/DC,1,0.88,86,391
8566,AC,1,0.66,28,171
282,AC/DC,0,0.97,29,886
15826,AC,1,0.33,69,402
8565,AC,1,0.75,26,393
14119,AC,0,0.84,77,885
366,AC/DC,0,0.19,65,846
516,AC/DC,1,0.17,26,724
87,AC/DC,0,0.06,24,202
992,AC/DC,0,0.75,79,134
144,AC/DC,0,0.86,7,428
6475,AC,1,0.09,57,119
975,AC/DC,0,0.71,52,755
451,AC,0,0.13,21,89
676,AC/DC,0,0.9,62,821
17582,AC,1,0.9,95,451
3139,AC,1,0.99,5,711
108,AC,0,0.83,56,30
8761,AC,1,0.2,23,415
238,AC/DC,0,0.28,79,906
8713,AC,1,0.68,24,704
19119,AC,1,0.41,100,914
10238,AC,1,0.19,48,352
846,AC/DC,0,0.16,58,327
7030,AC,1,0.94,74,617
273,AC/DC,0,0.7,92,445
168,AC/DC,0,0.55,10,671
506,AC,1,0.22,9,412
654,AC/DC,0,0.23,84,810
844,AC/DC,0,0.7,5,726
336,AC/DC,0,0.12,33,70
357,AC/DC,0,0.54,34,866
19828,AC,1,0.25,95,483
1575,AC,1,0.45,74,133
874,AC/DC,0,0.62,9,497
4559,AC,1,0.84,8,6
36,AC/DC,0,0.0,58,380
16955,AC,0,0.01,14,899
12280,AC,1,0.89,23,332
6486,AC,1,0.45,68,242
979,AC/DC,1,0.07,58,476
1584,AC/DC,1,0.55,70,122
6562,AC,1,0.17,6,532
16557,AC,1,0.44,85,999
186,AC,0,0.72,37,394
450,AC/DC,0,0.41,57,258
10102,AC,1,0.55,57,59
567,AC,0,0.2,49,629
3854,AC,0,0.68,44,451
6,AC/DC,0,0.96,73,417
13228,AC,1,0.11,63,567
11466,AC,0,0.33,78,10
398,AC/DC,1,0.45,65,902
19661,AC/DC,1,0.8,40,447
405,AC/DC,0,0.02,14,142
14417,AC,1,0.94,36,154
7049,AC/DC,1,0.14,45,98
6940,AC,1,0.74,27,256
671,AC/DC,0,0.88,51,449
764,AC/DC,0,0.75,3,493
380,AC/DC,0,0.94,90,833
892,AC/DC,0,0.32,86,515
723,AC,0,0.62,92,139
11482,AC,1,0.48,79,999
5621,AC,0,0.1,74,694
243,AC/DC,0,0.3,68,788
282,AC/DC,0,0.74,64,594
241,AC,0,0.78,12,824
640,AC/DC,0,0.46,74,780
18,AC/DC,0,0.38,16,292
952,AC/DC,0,0.66,74,143
554,AC/DC,0,0.15,84,14
303,AC/DC,0,0.78,98,405
5653,AC,1,0.09,42,667
486,AC/DC,0,0.97,43,807
118,AC/DC,0,0.33,24,574
1553,AC,1,0.55,47,763
79,AC/DC,0,0.3,32,868
743,AC/DC,0,0.97,80,979
40,AC/DC,0,0.67,45,396
454,AC/DC,0,0.83,83,565
4268,AC,1,0.74,4,959
462,AC,0,0.54,11,227
5896,AC,1,0.04,89,747
723,AC,0,0.25,79,978
926,AC/DC,0,0.83,79,414
17720,AC,1,0.71,41,740
772,AC/DC,1,0.28,59,565
860,AC/DC,0,0.26,14,517
613,AC/DC,1,0.66,57,858
601,AC/DC,0,0.65,12,499
17769,AC,1,0.52,45,736
8638,AC,1,0.06,100,268
998,AC/DC,0,0.72,1,615
607,AC/DC,0,0.4,73,883
366,AC/DC,0,0.3,49,28
782,AC/DC,0,0.13,70,683
2393,AC,1,0.15,4,439
427,AC/DC,1,0.08,47,34
414,AC/DC,0,0.34,39,306
34,AC/DC,0,0.88,37,350
194,AC/DC,0,0.9,39,64
12,AC/DC,0,0.05,44,549
602,AC/DC,0,0.2,0,589
896,AC/DC,0,0.19,95,340
577,AC/DC,0,0.47,52,168
10,AC/DC,0,0.76,78,357
139,AC/DC,0,0.65,91,230
800,AC/DC,0,0.14,85,289
4287,AC/DC,1,0.85,49,474
11586,AC,1,0.96,47,966
302,AC,0,0.44,76,565
5586,AC/DC,1,0.24,100,683
